source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,1,2,Prattsville & Roxbury,21 December 1943,to take effect 1 April 1944,,C.R.S. 1 Gilboa Schoharie
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,2,1,Gilboa (Schoharie Co),21 December 1943,to take effect 1 April 1944,,C.R.S. 1 Gilboa
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,3,4,Prattsville & Lexington,21 December 1943,to take effect 1 April 1944,,C.R.S. 1 Gilboa
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,4,1,Gilboa (Schoharie Co),21 December 1943,to take effect 1 April 1944,,C.R.S. 1 Gilboa
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,5,6,Prattsville & Ashland,25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Gilboa
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,6,1,Gilboa (Schoharie Co),25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Gilboa
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,7,3 & Ashland,25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Wyndham,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,8,1 Wyndham,25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Wyndham,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,9,5 Ashland & Prattsville,25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Wyndham,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,10,1 Wyndham,25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Wyndham,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,11,5 Westerlo (Albany Co.),25 February 1944,to take effect 1 June 1944,,C.R.S. 1 Greenville,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,12,1 Greenville,25 February 1944,30 Sept. 1944,,C.R.S. 1 Greenville,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,13,,1 Copake,"Laid out June 17, 1947","Meeting held June 30, 1947",,C.R.S. 1 Copake
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,14,,"1, 2 Athens","Laid out June 17, 1947","Meeting held June 30, 1947",,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,15,,"3, 4, 5, 6, 7, 8, 9, Copake","Laid out June 17, 1947","Meeting held June 30, 1947",,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,16,,"4, 6 Athens","Laid out June 17, 1947","Meeting held June 30, 1947",,
District-Consolidation-Data_100-116.pdf,68,Greene,central_rural_schools,17,,"2, 3, 7, 11 New Baltimore","Laid out June 17, 1947","Meeting held June 30, 1947",,
