source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,1,1,Ephratah & Oppenheim,15 May 1914,12 8345 1K,12 Oppenheim,No. new dist. changed 1915
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,2,"5,6",Ephratah,20 August 1914,1 8400 Cont,6 Ephratah,"Oppenheim annulled, dissolved"
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,3,"1,20",Johnstown,6 May 1914,"11 Johnstown taken out of consol. Mr. 13,1920 numbered",,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,4,6,Ephratah,6 May 1914,4 Johnstown,,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,5,"3,4",Caroga,26 April 1916,to take effect 27 Apr 1916,3 Caroga,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,6,"7,8,9,10,11",Ephratah,7 February 1923,"1-48,201 2K 5-26,720 1K 6-39,590 1K",10 Ephratah,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,7,5,Bleeker & Caroga,28 May 1923,"4-44,900 1K 5-22,350 1K",4 Bleeker,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,8,4,Bleeker,28 May 1923,"1-48,201 2K 5-26,720 1K 6-39,590 1K",4 Bleeker,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,9,"1,5,6",Stratford,16 May 1923,to take effect 1 Ag.1923,1 Stratford,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,10,"1,2,3,4,5,7,8,9",Northampton,C.R.S. Laid out 14 Apr 1928 Meeting held 30 Apr 1928 Desig. of dist 15 May 1928,"1-552,109 2K 2-94,407 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K","1 Northampton & Mayfield Fulton Co. Edinburgh, Sar. Co. Hope, Ham. Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,11,12,Mayfield & Northampton,C.R.S. Laid out 14 Apr 1928 Meeting held 30 Apr 1928 Desig. of dist 15 May 1928,"1-552,109 2K 2-94,407 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K","Mayfield Fulton Co. Edinburgh, Sar. Co. Hope, Ham. Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,12,2,"Hope, Ham. Co. & Northampton",C.R.S. Laid out 14 Apr 1928 Meeting held 30 Apr 1928 Desig. of dist 15 May 1928,"1-552,109 2K 2-94,407 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K","Hope, Ham. Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,13,"1,2",Caroga,31 July 1928,"1-160,710 2K 2-13,395 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K",1 Caroga,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,14,"1,2,3,4,7,9",Stratford etc Fulton Co.,C.R.S. Laid out 23 May 1928 Meeting held 14 June 1928 Desig. of dist 16 July 1928,"1-552,109 2K 2-94,407 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K","1 Stratford Oppenheim & Ephratah, Fulton Co. & Salisbury, Herk. Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,15,"8,11","Salisbury, Herk. Co.",C.R.S. Laid out 23 May 1928 Meeting held 14 June 1928 Desig. of dist 16 July 1928,"1-552,109 2K 2-94,407 1K 3-176,473 1K 4-21,536 1K 5-176,471 1K 6-111,330 1K 7-15,165 1K","Salisbury, Herk. Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,16,"3,8",Mayfield,1 September 1928,"8 3 acad 7 B. 23,203 1K 3 M. 32,240 1K",8 Broadalbin,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,17,3,Mayfield,1 September 1928,"8 3 acad 7 B. 23,203 1K 3 M. 32,240 1K",Mayfield,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,18,8,Broadalbin,1 September 1928,"8 3 acad 7 B. 23,203 1K 3 M. 32,240 1K",Broadalbin,
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,19,1,Path & Johnston,Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","1 Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,20,2,"Perth, Broadalbin",Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,21,9,"Perth, Broadalbin & Mayfield",Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,22,11,Perth & Mayfield,Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,23,9,Broadalbin & Perth,Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
District-Consolidation-Data_100-116.pdf,61,Fulton,consolidated_districts,24,3,"Perth, Fulton Co. & Amsterdam, Mohler",Laid out 17 June 1929 Meeting held 3 July 1929 Desig. of dist 20 July 1929,"11-46,693 - 1K 6-312,672 - 4K","Perth, Johnston, Broadalbin, Mayfield Fulton Co., Town of Amsterdam - Mohler, Town of Galway - Saratoga Co.",
